id,shock.stage,temp.avg,temp.var,hs.temp,hs.num,date.died,date.hatch,date.ovp,time.ovp,num.ovp,date.3,mass.3,mass.in.hs,inst.in.hs,date.in.hs,time.in.hs,date.out.hs,time.out.hs,date.4,mass.4,date.5,mass.5,date.p5.1,mass.p5.1,instar.p5.1,date.p5.2,mass.p5.2,inst.p5.2,date.p5.3,mass.p5.3,inst.p5.3,date.p5.4,mass.p5.4,inst.p5.4,date.cull,mass.cull,date.wand,mass.wand,date.em,instar.em,bled.em,mass.48em,num.em,num.coc,num.fail.spin,date.ecl,num.ecl,fem.ecl,male.ecl,fem.mass,male.mass,num.unem.mat,num.unem.im,mat.load,tot.load,mass.unem,mass.fail.spin,pup,moth.ecl,pv.dna,gen.notes,diss.notes
139,late,25,10,42,3,,10/20/18,10/26/18,10:00,1,10/26/18,67.56,2450.55,5,11/5/18,9:12,11/7/18,17:01,10/30/18,409.78,11/4/18,2038.59,11/11/18,3224.69,em,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/11/18,5,0,3224.69,7,6,1,11/18/18,5,2,3,0.47,0.56,59,24,66,90,,,,,,,24 immature 2nds of various sizes. at least 1 small 1st. Several 2nds that half shed cuticle
140,mid,25,10,42,3,11/1/18,10/20/18,10/26/18,9:48,1,10/26/18,65.82,242.46,3,10/30/18,10:10,,,11/1/18,176.48,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,"removed cuticle from 4th proleg after molt into 4th, caterpillar bleed. died during heat shock, possibly due to the cuticle removal.",
141,late,25,10,42,3,11/5/18,10/20/18,10/26/18,10:02,1,10/26/18,67.89,1175.15,5,11/5/18,9:12,,,10/30/18,235.23,11/4/18,1260.66,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,"did not shed over thoracic legs at molt to 5th, removed partially. removed head cap at molt to 5th. looks poorly prior to going into heat shock, may not survive Heat shock. died during heat shock",
142,control,25,10,0,0,,10/20/18,10/26/18,10:11,1,10/26/18,61.62,FALSE,,,,,,10/30/18,342.74,11/5/18,2252.08,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/9/18,5,0,3755.75,76,72,4,11/15/18,61,0,61,0,19.37,32,0,108,108,,,,,,,
143,early,25,10,42,3,10/28/18,10/20/18,10/26/18,10:18,1,10/26/18,58.48,58.48,3,10/26/18,10:20,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,died during heat shock,
144,mid,25,10,42,3,,10/20/18,10/26/18,9:49,2,10/26/18,63.07,393.68,4,10/30/18,10:10,11/1/18,16:16,11/1/18,291.74,11/5/18,2085.62,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/10/18,5,0,4632.64,185,174,11,11/16/18,162,29,133,7.69,26.1,19,0,204,204,,,,,,"wasp cup dropped out of freezer--loss of many antennae, some heads. Could affect mass",
145,late,25,10,42,3,,10/20/18,10/26/18,10:03,1,10/26/18,77.91,3514.15,5,11/5/18,9:12,11/7/18,17:01,10/29/18,311.05,11/4/18,28223.12,11/11/18,5241.34,5,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/12/18,5,0,4966.03,4,4,0,11/18/18,3,0,3,0,1.03,113,55,117,172,,,,,,,
146,mid,25,10,42,3,11/9/18,10/20/18,10/26/18,9:51,1,10/26/18,66.62,312.52,3,10/30/18,10:10,11/1/18,16:16,10/31/18,328.29,11/8/18,915.23,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,removed cuticle from 5th proleg after molt into 5th.,
147,late,25,10,42,3,,10/20/18,10/26/18,10:04,2,10/26/18,47.71,1907.66,5,11/5/18,9:12,11/7/18,17:01,10/30/18,242.53,11/4/18,1424.26,11/11/18,3033.56,em,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/11/18,5,0,3033.56,3,2,1,,0,0,0,0,0,84,16,87,103,,,,,,,
148,control,25,10,0,0,,10/23/18,10/29/18,11:46,1,10/29/18,68.25,FALSE,,,,,,11/2/18,171.04,11/7/18,846.61,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/11/18,5,0,2243.49,65,62,3,11/18/18,57,17,40,4.9,12.99,3,0,68,68,,,,,,,
149,early,25,10,42,3,11/13/18,10/23/18,10/29/18,10:46,1,10/29/18,66.82,66.82,3,10/29/18,11:00,10/31/18,16:21,11/4/18,377.05,11/8/18,1278.13,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,removed cuticle from 5th proleg during molt into 5th,
150,mid,25,10,42,3,11/10/18,10/23/18,10/29/18,11:26,2,10/29/18,54.08,264.13,3,11/2/18,9:15,11/4/18,17:45,11/2/18,245.09,11/9/18,634.67,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,removed cuticle from 3rd proleg after molt into 4th. removed cuticle from all prolegs after molt into 5th.,
151,late,25,10,42,3,,10/23/18,10/29/18,11:35,3,10/29/18,51.42,3198.27,5,11/9/18,10:20,11/11/18,16:18,11/2/18,222,11/6/18,951.96,11/15/18,5103.06,5,11/22/18,5756.55,5,11/29/18,5231.64,cull,,,,11/29/18,5231.64,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,"weighed 2 days late for P5.1, P5.2 & P5.3",
152,mid,25,10,42,3,,10/23/18,10/29/18,11:27,1,10/29/18,33.67,287.78,5,11/2/18,9:15,11/4/18,17:45,11/1/18,187.56,11/8/18,1999.43,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/12/18,5,0,3142.72,133,128,5,11/18/18,87,10,77,2.53,15.86,15,2,148,150,,,,,,,
153,late,25,10,42,3,,10/23/18,10/29/18,11:37,1,10/29/18,53.06,1866.59,5,11/8/18,9:45,11/10/18,17:15,11/1/18,244.36,11/7/18,1458.42,11/14/18,3247.78,5,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/17/18,5,0,2872.07,1,0,1,,0,,,,,,,1,1,,,,,,,
154,late,25,10,0,0,,10/23/18,10/29/18,11:47,2,10/29/18,52.84,2778.49,5,11/9/18,10:20,11/11/18,16:18,11/3/18,270.27,11/8/18,2123.79,11/15/18,4424.33,5,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/16/18,5,0,4094.47,17,9,8,11/24/18,1,1,0,0.24,0,110,40,127,167,,,,,,,"40 immature 2nds of various sizes. Several 1sts of various sizes, not counted. 1 or 2 2nds that look like they failed to molt to 3rd"
155,early,25,10,42,3,,10/23/18,10/29/18,10:49,1,10/29/18,75.69,75.69,3,10/29/18,11:00,10/31/18,16:21,11/4/18,403.49,11/8/18,1592.9,11/15/18,13162.03,5,11/22/18,15513.69,5,,,,,,,11/27/18,14722.24,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,,
156,mid,25,10,42,3,,10/23/18,10/29/18,11:28,1,10/29/18,56.06,296.91,4,11/2/18,9:15,11/4/18,17:45,11/1/18,229.64,11/8/18,1853.95,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/12/18,5,0,4152.37,102,98,4,11/18/18,71,0,71,0,15.74,17,1,119,120,,,,,,,"mostly mature 2nds. 1 immature 2nds, not counted and not saved"
157,late,25,10,42,3,,10/23/18,10/29/18,11:38,1,10/29/18,58.64,2813.12,5,11/10/18,7:47,11/12/18,16:58,11/3/18,246.72,11/9/18,2055.74,11/16/18,4575.72,em,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/16/18,5,0,4575.72,15,12,3,11/22/18,2,0,2,0,0.44,67,21,82,103,,,,,,,21 immature 2nds of various sizes. at least 3 small 1sts. large unhatched egg found as well
158,mid,25,10,42,3,,10/23/18,10/29/18,11:29,1,10/29/18,72.83,364.78,4,11/2/18,9:15,11/4/18,17:45,11/1/18,236.99,11/8/18,1589.82,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/12/18,5,0,3044.82,40,40,0,11/18/18,32,19,13,6.2,3.28,4,0,44,44,,,,,,,
159,late,25,10,42,3,11/14/18,10/24/18,10/29/18,11:39,1,10/29/18,55,FALSE,,,,,,11/3/18,76.36,11/13/18,290.16,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,removed cuticle from 4-5th prolegs at molt to 4th. removed cuticle from 4-5th prolegs at molt to 5th. Died prior to being put in HS.,
160,late,25,10,0,0,,10/24/18,10/29/18,11:48,2,10/29/18,73.32,3301.02,5,11/9/18,10:20,11/11/18,16:18,11/2/18,316.17,11/8/18,2360.12,11/15/18,4399.65,em,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/15/18,5,0,4399.65,15,6,9,,0,0,0,0,0,70,48,85,133,,,,,,,40 immature 2nds of various sizes. 4 1st instars
161,early,25,10,42,3,11/8/18,10/24/18,10/29/18,10:50,1,10/29/18,73.42,73.42,3,10/29/18,11:00,10/31/18,16:21,11/5/18,92.23,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,removed cuticle from 4th proleg after molt into 4th. ,
162,mid,25,10,42,3,11/4/18,10/24/18,10/29/18,11:31,1,10/29/18,66.52,308.10,3,11/2/18,9:15,11/4/18,17:45,11/2/18,291.93,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,removed cuticle from 4th proleg after molt into 4th. died during heat shock,
163,late,25,10,42,3,,10/24/18,10/29/18,11:40,1,10/29/18,51.27,1852.29,5,11/8/18,9:45,11/10/18,17:15,11/2/18,216.43,11/7/18,1190.36,11/14/18,4407.61,5,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/15/18,5,0,4117.41,10,5,5,,0,0,0,0,0,130,27,140,167,,,,,,,"27 immature 2nds of various sizes--some large, some very small. No 1sts seen. a few mature 2nds that looked caught in shed cuticle--took picture of one"
164,mid,25,10,42,3,,10/24/18,10/29/18,11:32,1,10/29/18,53.67,332.29,4,11/2/18,9:15,11/4/18,17:45,11/1/18,211.66,11/6/18,1241.19,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/12/18,5,0,3791.34,160,144,16,11/18/18,98,72,26,18.77,4.95,17,0,177,177,,,,,,,
165,late,25,10,42,3,,10/24/18,10/29/18,11:41,1,10/29/18,59.14,1920.81,5,11/7/18,9:20,11/9/18,17:15,11/1/18,196.97,11/6/18,1296.41,11/13/18,3003.47,em,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/13/18,5,0,3003.47,2,1,1,11/22/18,1,1,0,0.21,0,68,36,70,106,,,,,,,immature 2nds many diff sizes. at least 1 1st instar
166,late,25,10,0,0,11/12/18,10/24/18,10/29/18,11:49,1,10/29/18,70.32,1346.39,4,11/6/18,10:12,11/8/18,17:07,11/2/18,156.84,11/5/18,964.89,11/12/18,2375.79,dead,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,,
167,early,25,10,42,3,,10/24/18,10/29/18,10:52,1,10/29/18,78.79,78.79,3,10/29/18,11:00,10/31/18,16:21,11/3/18,452.2,11/7/18,2213.24,11/14/18,14797.41,5,11/21/18,19117.17,5,11/28/18,18678.54,cull,,,,11/28/18,18678.54,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,,
168,mid,25,10,42,3,11/4/18,10/24/18,10/29/18,11:33,1,10/29/18,74.09,108.38,4,11/2/18,9:15,11/4/18,17:45,11/2/18,108.38,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,died during heat shock,
169,late,25,10,42,3,,10/24/18,10/29/18,11:43,2,10/29/18,55.08,1987.31,5,11/8/18,9:45,11/10/18,17:15,11/2/18,182.58,11/7/18,1350.06,11/14/18,3493.44,5,11/21/18,3767.29,5,11/28/18,3371.16,cull,,,,11/28/18,3371.16,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,,
170,mid,25,10,42,3,,10/24/18,10/29/18,11:34,1,10/29/18,55.58,320.63,3,11/2/18,9:15,11/4/18,17:45,11/4/18,415.7,11/10/18,1984.31,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/14/18,5,0,4149.72,73,72,1,11/20/18,63,26,37,8.37,8.97,21,4,94,98,,,,,,,"alls 2nds, no 1sts"
171,late,25,10,42,3,11/5/18,10/24/18,10/29/18,11:44,2,10/29/18,49.26,FALSE,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,,
172,early,25,10,42,3,,10/24/18,10/29/18,10:53,1,10/29/18,59.8,59.80,3,10/29/18,11:00,10/31/18,16:21,11/2/18,185.47,11/7/18,1984.81,11/14/18,9121.18,5,11/21/18,11068.59,5,11/28/18,10607.36,cull,,,,11/28/18,10607.36,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,,
173,early,25,10,42,3,,10/24/18,10/29/18,10:55,1,10/29/18,61.79,61.79,3,10/29/18,11:00,10/31/18,16:21,11/3/18,126.94,11/8/18,764.54,11/15/18,8427.61,5,11/22/18,10996.52,cull,,,,,,,11/22/18,10996.52,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,"purple and dying on 11/24/18, marked last p5 measurement as cull",
174,early,25,10,42,3,,10/24/18,10/29/18,10:56,1,10/29/18,66.97,66.97,3,10/29/18,11:00,10/31/18,16:21,11/2/18,284.42,11/6/18,1277.53,11/13/18,10168.36,5,11/20/18,13055.52,5,11/27/18,14019.72,cull,,,,11/27/18,14019.72,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,,
175,early,25,10,42,3,,10/24/18,10/29/18,10:57,2,10/29/18,57.2,57.20,3,10/29/18,11:00,10/31/18,16:21,11/2/18,284.71,11/7/18,1828.66,11/14/18,11745.67,5,11/21/18,15942.55,cull,,,,,,,11/21/18,15942.55,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,"purple and dying on 11/24/18, marked last p5 measurement as cull",
176,late,25,10,0,0,,10/25/18,10/30/18,10:42,2,10/30/18,77.14,2566.67,5,11/8/18,9:45,11/10/18,17:15,11/3/18,229.37,11/7/18,1497.34,11/14/18,5329.28,5,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/16/18,5,0,5479.39,8,8,0,11/23/18,5,3,2,0.81,0.37,84,70,92,162,,,,,,,"70 immature 2nds of various sizes. Some may have been large 1sts. Roughly 100 larvae that were either 1sts or small 2nds--was impractical to try and stage all of them. All were very small and translucent, none approached the size of a mid or immature 2nd"
177,early,25,10,42,3,,10/25/18,10/30/18,9:46,1,10/30/18,74.15,74.15,3,10/30/18,10:10,11/1/18,16:16,11/3/18,207.96,11/7/18,903.47,11/14/18,5060.59,6,11/21/18,13366.06,cull,,,,,,,11/21/18,13366.06,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,"molted to 6th instar 11/13/18. Mass: 4749.76. purple and dying on 11/24/18, marked last p5 measurement as cull",
178,mid,25,10,42,3,,10/25/18,10/30/18,10:13,2,10/30/18,50.94,276.74,4,11/3/18,8:35,11/5/18,17:03,11/2/18,237.45,11/11/18,1606.18,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/15/18,5,0,3047.62,159,159,,11/21/18,121,47,74,15.07,13.83,16,6,175,181,,,,,,,6 immature 2nds of various sizes. at least 5 small 1sts
179,late,25,10,42,3,,10/25/18,10/30/18,10:29,1,10/30/18,74.45,1682.46,5,11/10/18,7:47,11/12/18,16:58,11/3/18,176.68,11/9/18,1097.93,11/16/18,3963.52,5,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/16/18,5,0,3765.94,13,9,4,11/24/18,4,1,3,0.27,0.7,99,54,112,166,,,,,,,54 immature 2nds of various sizes. no 1sts seen
180,mid,25,10,42,3,11/5/18,10/25/18,10/30/18,10:14,1,10/30/18,75.32,187.43,3,11/3/18,8:35,,,11/5/18,152.59,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,died during heat shock,
181,late,25,10,42,3,,10/25/18,10/30/18,10:30,1,10/30/18,65.12,2428.82,5,11/9/18,10:20,11/11/18,16:18,11/3/18,298.28,11/8/18,1632.51,11/15/18,4058.56,5,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/16/18,5,0,3901.89,1,0,1,,0,,,,,116,37,117,154,,,,,,,"37 immature 2nds or various sizes, at least 3 3rds"
182,control,25,10,0,0,,10/25/18,10/30/18,10:44,1,10/30/18,51.31,FALSE,,,,,,11/3/18,127.59,11/9/18,808.57,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/14/18,5,0,2374.63,124,106,18,11/20/18,91,15,76,4.23,16.24,6,5,130,135,,,,,,,5 immature 2nds of various sizes. at least 3 firsts
183,early,25,10,42,3,,10/25/18,10/30/18,9:50,2,10/30/18,60.1,60.10,3,10/30/18,10:10,11/1/18,16:16,11/3/18,200.67,11/7/18,971.89,11/14/18,8602.78,5,11/21/18,11442.23,5,11/28/18,11562.78,cull,,,,11/28/18,11562.78,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,,
184,mid,25,10,42,3,11/13/18,10/25/18,10/30/18,10:16,2,10/30/18,71.84,299.71,3,11/3/18,8:35,11/5/18,17:03,11/5/18,424.58,11/11/18,1227.58,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,,
185,late,25,10,42,3,,10/25/18,10/30/18,10:31,1,10/30/18,63.31,1751.27,5,11/8/18,9:45,11/10/18,17:15,11/2/18,223.92,11/7/18,1472.12,11/14/18,5073.74,5,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/16/18,5,1,4771.98,28,16,12,11/22/18,4,2,2,0.62,0.54,93,37,121,158,,,,,,,"37 immature 2nds of various sizes, at least 2 1sts"
186,mid,25,10,42,3,11/5/18,10/25/18,10/30/18,10:17,1,10/30/18,61.91,295.94,3,11/3/18,8:35,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,died during heat shock,
187,late,25,10,42,3,11/7/18,10/25/18,10/30/18,10:33,1,10/30/18,68.61,FALSE,,,,,,11/4/18,169.22,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,,
188,control,25,10,0,0,11/1/18,10/25/18,10/30/18,10:45,2,10/30/18,40.14,FALSE,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,,
189,early,25,10,42,3,11/9/18,10/25/18,10/30/18,9:52,1,10/30/18,56.54,56.54,3,10/30/18,10:10,11/1/18,16:16,11/5/18,87.12,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,,
190,mid,25,10,42,3,11/5/18,10/25/18,10/30/18,10:18,3,10/30/18,51.59,71.84,3,11/3/18,8:35,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,died during Heat shock,
191,late,25,10,42,3,,10/25/18,10/30/18,10:35,1,10/30/18,47.84,2072.69,5,11/10/18,7:47,11/12/18,16:58,11/3/18,254.32,11/9/18,1597.39,11/16/18,4131.34,5,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/17/18,5,0,3904.11,4,3,1,11/24/18,1,0,1,0,0.17,,,4,4,,,,,,,
192,mid,25,10,42,3,,10/25/18,10/30/18,10:20,1,10/30/18,51.73,324.12,4,11/3/18,8:35,11/5/18,17:03,11/2/18,239.23,11/9/18,1462.34,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/14/18,5,0,3523.88,110,106,4,11/20/18,103,21,82,11.93,17.15,,,110,110,,,,,,,
193,late,25,10,42,3,,10/25/18,10/30/18,10:37,2,10/30/18,53.75,2546.97,5,11/10/18,7:47,11/12/18,16:58,11/3/18,294.62,11/9/18,2026.41,11/16/18,4171.33,em,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/16/18,5,0,4171.33,65,41,24,11/23/18,15,0,15,0,3.58,57,30,122,152,,,,,,,30 immature 2nds of various sizes. no 1sts seen. several 2nds had not finished shedding cuticle
194,mid,25,10,42,3,,10/25/18,10/30/18,10:21,2,10/30/18,71.01,396.86,4,11/3/18,8:35,11/5/18,17:03,11/2/18,245.35,11/9/18,2258.05,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/13/18,5,0,5263.02,182,145,37,11/19/18,110,52,58,13.43,11.99,39,2,221,223,,,,,,,"2 immature 2nds, no 1sts seen"
195,mid,25,10,42,3,,10/25/18,10/30/18,10:22,1,10/30/18,47.63,227.56,4,11/3/18,8:35,11/5/18,17:03,11/2/18,150.16,11/7/18,776.5,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/12/18,5,1,1457.91,57,44,13,11/18/18,37,1,36,0.23,7.84,,,57,57,,,,,,was bleeding badly and nearly dead upon cocoon counting.,
196,mid,25,10,42,3,11/11/18,10/25/18,10/30/18,10:23,1,10/30/18,41.58,79.33,3,11/3/18,8:35,11/5/18,17:03,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,,
197,mid,25,10,42,3,,10/25/18,10/30/18,10:24,1,10/30/18,57.35,228.80,4,11/3/18,8:35,11/5/18,17:03,11/2/18,168.52,11/7/18,749.82,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/12/18,5,0,2158,40,40,0,11/18/18,37,1,36,0.37,7.15,9,0,49,49,,,,,,,
198,late,25,10,42,3,,10/25/18,10/30/18,10:38,2,10/30/18,40.22,1367.01,5,11/9/18,10:20,11/11/18,16:18,11/3/18,183.4,11/8/18,845.37,11/15/18,2645.75,5,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/16/18,5,0,2512.59,9,5,4,11/23/18,5,0,5,0,0.96,85,42,94,136,,,,,,,"42 immature 2nds, mostly small--some could have been 1sts. at least 4 1sts"
199,late,25,10,42,3,,10/25/18,10/30/18,10:39,2,10/30/18,51.42,3119.42,5,11/10/18,7:47,11/12/18,16:58,11/3/18,321.66,11/9/18,2195.48,11/16/18,5027.77,em,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/16/18,5,0,5027.77,62,32,30,11/22/18,8,0,8,0,2.01,131,19,193,212,,,,,,,19 immature 2nds of various sizes. several mature 2nds that had partially shed their cuticle
200,mid,25,10,42,3,11/1/18,10/25/18,10/30/18,10:25,1,10/30/18,41.75,FALSE,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,,
201,late,25,10,42,3,,10/25/18,10/30/18,10:41,1,10/30/18,57.09,FALSE,5,11/8/18,9:45,11/10/18,17:15,11/2/18,164,11/7/18,1258.31,11/14/18,3848.61,5,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/16/18,5,0,3623.33,2,1,1,11/22/18,1,1,0,0.24,0,103,54,105,159,,,,,,,"54 immature 2nds of various sizes. 8 small larvae that were either large 1sts or small 2nds, could not tell "
203,control,25,10,0,0,,11/6/18,11/12/18,10:05,1,11/12/18,67.92,FALSE,,,,,,11/16/18,322.49,11/21/18,1963.41,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/26/18,5,0,4061.8,0,,,12/3/18,37,24,13,7.01,2.96,,,0,0,,,,,,,
204,early,25,10,42,3,,11/6/18,11/12/18,9:58,1,11/12/18,74.14,74.14,3,11/12/18,10:04,11/14/18,16:49,11/17/18,513.6,11/22/18,2107.01,11/29/18,15267.78,5,12/6/18,16712.03,5,,,,,,,#N/A,#N/A,12/7/18,14567.73,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,"over 2 g at molt to 5th, but very obviously freshly molted, maybe a wanderer(characteristic pink near head and dorsal vessical showing but hasn't destroyed food) on 12/6/18 at P5.2 but am leaving one more day to observe. disturbed food and had clear dorsal clearing on 12/7/18, frozen as wanderer for dna extraction",
205,mid,25,10,42,3,11/23/18,11/6/18,11/12/18,10:07,2,11/12/18,55.14,285.40,3,11/16/18,9:10,11/18/18,15:58,11/16/18,273.28,11/22/18,1017.92,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,"molted into 4th but had not shed cuticle, was not able to remove. removed cuticle from all prolegs 1 day after molt to 4th. did not shed over thoracic legs at molt to 5th. could not remove",
206,late,25,10,42,3,11/23/18,11/6/18,11/12/18,10:13,2,11/12/18,71.9,2998.19,5,11/21/18,12:25,,,11/16/18,443.14,11/20/18,1875.41,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,"died during heat shock, possibly due to over heating chamber",
207,mid,25,10,42,3,,11/6/18,11/12/18,10:08,2,11/12/18,51.23,303.49,4,11/16/18,9:10,11/18/18,15:58,11/16/18,303.49,11/20/18,1043.82,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/26/18,5,0,3854.43,177,172,5,12/2/18,150,38,112,8.96,22.63,30,0,207,207,,,,,,,some mat 2nd instars looked stuck in cuticle
208,late,25,10,42,3,11/26/18,11/6/18,11/12/18,10:14,2,11/12/18,71.47,3941.09,5,11/22/18,10:15,11/24/18,21:05,11/16/18,296,11/21/18,2538.12,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,experienced at least 1 day of chamber running 2 degrees too host,
209,early,25,10,42,3,,11/6/18,11/12/18,10:00,2,11/12/18,55.62,55.62,3,11/12/18,10:04,11/14/18,16:49,11/16/18,149.6,11/20/18,710.41,11/27/18,6438.51,5,12/4/18,9769.42,wand,,,,,,,#N/A,#N/A,12/4/18,9769.42,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,,
210,mid,25,10,42,3,,11/6/18,11/12/18,10:09,1,11/12/18,64.32,296.34,4,11/16/18,9:10,11/18/18,15:58,11/16/18,296.34,,,11/26/18,1474.47,em,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/26/18,4,1,1474.47,6,4,2,12/3/18,4,3,1,0.89,0.22,3,0,9,9,,,,,,,
211,late,25,10,42,3,11/23/18,11/6/18,11/12/18,10:15,1,11/12/18,41.37,3016.84,5,11/21/18,12:25,,,11/16/18,374.03,11/20/18,1669.56,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,"died during heat shock, possibly due to over heating chamber",
